學校代碼,學校名稱,日間∕進修別,等級別,一年級男生,一年級女生,二年級男生,二年級女生,三年級男生,三年級女生,四年級男生,四年級女生,五年級男生,五年級女生,六年級男生,六年級女生,七年級男生,七年級女生,延修生男生,延修生女生,縣市名稱,體系別,學年度,city_name,總計,sector,男生計,女生計,一年級男,一年級女,二年級男,二年級女,三年級男,三年級女,四年級男,四年級女,五年級男,五年級女,六年級男,六年級女,七年級男,七年級女,延修生男,延修生女,華語先修生男,華語先修生女
37,國立臺北教育大學,D 日,B 學士,291,534,268,531,279,524,258,532,0.0,0.0,0.0,0.0,0.0,0.0,68,79.0,30 臺北市,3 師範,105,臺北市,3364.0,公立,,,,,,,,,,,,,,,,,,,,
37,國立臺北教育大學,N 職,M 碩士,83,272,80,232,29,122,30,94,9.0,10.0,19.0,34.0,0.0,0.0,0,0.0,30 臺北市,3 師範,105,臺北市,1014.0,公立,,,,,,,,,,,,,,,,,,,,
38,國立清華大學南大校區(原：國立新竹教育大學),D 日,D 博士,7,9,8,6,4,7,4,9,2.0,6.0,5.0,5.0,12.0,7.0,0,0.0,18 新竹市,3 師範,105,新竹市,91.0,公立,,,,,,,,,,,,,,,,,,,,
38,國立清華大學南大校區(原：國立新竹教育大學),D 日,M 碩士,76,187,81,157,42,107,30,83,8.0,10.0,2.0,5.0,0.0,0.0,0,0.0,18 新竹市,3 師範,105,新竹市,788.0,公立,,,,,,,,,,,,,,,,,,,,
38,國立清華大學南大校區(原：國立新竹教育大學),D 日,B 學士,214,441,183,469,182,451,173,441,0.0,0.0,0.0,0.0,0.0,0.0,31,52.0,18 新竹市,3 師範,105,新竹市,2637.0,公立,,,,,,,,,,,,,,,,,,,,
38,國立清華大學南大校區(原：國立新竹教育大學),N 職,M 碩士,19,144,26,121,19,90,8,24,11.0,25.0,7.0,18.0,5.0,48.0,0,0.0,18 新竹市,3 師範,105,新竹市,565.0,公立,,,,,,,,,,,,,,,,,,,,
39,國立臺中教育大學,D 日,D 博士,7,13,10,11,12,10,6,12,6.0,6.0,4.0,8.0,11.0,10.0,0,0.0,19 臺中市,3 師範,105,臺中市,126.0,公立,,,,,,,,,,,,,,,,,,,,
39,國立臺中教育大學,D 日,M 碩士,107,180,83,174,50,102,30,76,6.0,8.0,3.0,4.0,0.0,0.0,0,0.0,19 臺中市,3 師範,105,臺中市,823.0,公立,,,,,,,,,,,,,,,,,,,,
39,國立臺中教育大學,D 日,B 學士,288,513,284,529,301,532,258,547,0.0,0.0,0.0,0.0,0.0,0.0,60,35.0,19 臺中市,3 師範,105,臺中市,3347.0,公立,,,,,,,,,,,,,,,,,,,,
39,國立臺中教育大學,N 職,M 碩士,57,183,34,186,38,96,19,44,11.0,20.0,17.0,20.0,0.0,0.0,0,0.0,19 臺中市,3 師範,105,臺中市,725.0,公立,,,,,,,,,,,,,,,,,,,,
42,國立澎湖科技大學,D 日,M 碩士,22,17,12,13,8,5,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,16 澎湖縣,2 技職,105,澎湖縣,79.0,公立,,,,,,,,,,,,,,,,,,,,
42,國立澎湖科技大學,D 日,B 四技,390,304,375,256,358,243,327,266,0.0,0.0,0.0,0.0,0.0,0.0,30,19.0,16 澎湖縣,2 技職,105,澎湖縣,2568.0,公立,,,,,,,,,,,,,,,,,,,,
42,國立澎湖科技大學,N 職,M 碩士,16,5,10,9,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,16 澎湖縣,2 技職,105,澎湖縣,42.0,公立,,,,,,,,,,,,,,,,,,,,
42,國立澎湖科技大學,N 修,B 四技,40,48,32,50,34,43,33,42,0.0,0.0,0.0,0.0,0.0,0.0,6,1.0,16 澎湖縣,2 技職,105,澎湖縣,329.0,公立,,,,,,,,,,,,,,,,,,,,
43,國立勤益科技大學,D 日,D 博士,2,1,2,1,3,0,3,0,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,06 臺中市,2 技職,105,臺中市,15.0,公立,,,,,,,,,,,,,,,,,,,,
43,國立勤益科技大學,D 日,M 碩士,202,49,213,54,60,14,20,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,06 臺中市,2 技職,105,臺中市,614.0,公立,,,,,,,,,,,,,,,,,,,,
43,國立勤益科技大學,D 日,B 四技,1113,514,1147,556,1078,512,1101,458,0.0,0.0,0.0,0.0,0.0,0.0,169,38.0,06 臺中市,2 技職,105,臺中市,6686.0,公立,,,,,,,,,,,,,,,,,,,,
43,國立勤益科技大學,D 日,C 二技,0,0,0,0,27,3,36,1,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,06 臺中市,2 技職,105,臺中市,69.0,公立,,,,,,,,,,,,,,,,,,,,
43,國立勤益科技大學,D 日,2 二專,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,06 臺中市,2 技職,105,臺中市,1.0,公立,,,,,,,,,,,,,,,,,,,,
43,國立勤益科技大學,N 職,M 碩士,85,21,75,23,32,0,8,1,10.0,1.0,1.0,2.0,0.0,0.0,0,0.0,06 臺中市,2 技職,105,臺中市,259.0,公立,,,,,,,,,,,,,,,,,,,,
43,國立勤益科技大學,N 修,B 四技,785,150,659,161,640,170,666,157,0.0,0.0,0.0,0.0,0.0,0.0,134,22.0,06 臺中市,2 技職,105,臺中市,3544.0,公立,,,,,,,,,,,,,,,,,,,,
43,國立勤益科技大學,N 修,C 二技,0,0,0,0,19,2,18,4,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,06 臺中市,2 技職,105,臺中市,47.0,公立,,,,,,,,,,,,,,,,,,,,
44,國立體育大學,D 日,D 博士,18,10,21,7,14,6,12,6,10.0,9.0,8.0,6.0,3.0,4.0,0,0.0,03 桃園市,1 一般,105,桃園市,134.0,公立,,,,,,,,,,,,,,,,,,,,
