學校代碼,學校名稱,日間∕進修別,等級別,一年級男生,一年級女生,二年級男生,二年級女生,三年級男生,三年級女生,四年級男生,四年級女生,五年級男生,五年級女生,六年級男生,六年級女生,七年級男生,七年級女生,延修生男生,延修生女生,縣市名稱,體系別,學年度,city_name,總計,sector,男生計,女生計,一年級男,一年級女,二年級男,二年級女,三年級男,三年級女,四年級男,四年級女,五年級男,五年級女,六年級男,六年級女,七年級男,七年級女,延修生男,延修生女,華語先修生男,華語先修生女
1080,宏國德霖科技大學,N 修,2 二專,,,,,,,,,,,,,,,,,01 新北市,2 技職,109,新北市,57.0,私立,21.0,36.0,6.0,19.0,13.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,
1080,宏國德霖科技大學,D 日,5 五專,,,,,,,,,,,,,,,,,01 新北市,2 技職,109,新北市,1158.0,私立,701.0,457.0,152.0,98.0,125.0,84.0,129.0,96.0,121.0,79.0,167.0,91.0,0.0,0.0,0.0,0.0,7.0,9.0,,
1081,東方設計大學,D 日,D 博士,,,,,,,,,,,,,,,,,12 高雄市,2 技職,109,高雄市,32.0,私立,15.0,17.0,3.0,2.0,1.0,5.0,5.0,2.0,4.0,4.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,,
1081,東方設計大學,D 日,M 碩士,,,,,,,,,,,,,,,,,12 高雄市,2 技職,109,高雄市,80.0,私立,29.0,51.0,14.0,28.0,6.0,10.0,4.0,9.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1081,東方設計大學,N 職,M 碩士,,,,,,,,,,,,,,,,,12 高雄市,2 技職,109,高雄市,46.0,私立,22.0,24.0,15.0,18.0,5.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1081,東方設計大學,D 日,B 四技,,,,,,,,,,,,,,,,,12 高雄市,2 技職,109,高雄市,687.0,私立,407.0,280.0,52.0,35.0,39.0,37.0,103.0,82.0,180.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,21.0,,
1081,東方設計大學,N 修,B 四技,,,,,,,,,,,,,,,,,12 高雄市,2 技職,109,高雄市,85.0,私立,47.0,38.0,9.0,7.0,6.0,2.0,21.0,3.0,10.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,,
1081,東方設計大學,D 日,C 二技,,,,,,,,,,,,,,,,,12 高雄市,2 技職,109,高雄市,39.0,私立,19.0,20.0,0.0,0.0,0.0,0.0,4.0,8.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,,
1081,東方設計大學,N 修,C 二技,,,,,,,,,,,,,,,,,12 高雄市,2 技職,109,高雄市,256.0,私立,138.0,118.0,0.0,0.0,0.0,0.0,71.0,58.0,59.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,,
1081,東方設計大學,N 修,2 二專,,,,,,,,,,,,,,,,,12 高雄市,2 技職,109,高雄市,132.0,私立,68.0,64.0,40.0,23.0,28.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1081,東方設計大學,D 日,5 五專,,,,,,,,,,,,,,,,,12 高雄市,2 技職,109,高雄市,715.0,私立,311.0,404.0,19.0,49.0,56.0,50.0,52.0,67.0,85.0,109.0,92.0,121.0,0.0,0.0,0.0,0.0,7.0,8.0,,
1082,崇右影藝科技大學,D 日,M 碩士,,,,,,,,,,,,,,,,,17 基隆市,2 技職,109,基隆市,80.0,私立,45.0,35.0,26.0,14.0,16.0,15.0,2.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1082,崇右影藝科技大學,D 日,B 四技,,,,,,,,,,,,,,,,,17 基隆市,2 技職,109,基隆市,1650.0,私立,725.0,925.0,120.0,190.0,144.0,220.0,223.0,221.0,151.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,54.0,,
1082,崇右影藝科技大學,N 修,C 二技,,,,,,,,,,,,,,,,,17 基隆市,2 技職,109,基隆市,510.0,私立,250.0,260.0,0.0,0.0,0.0,0.0,78.0,58.0,168.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,,
1082,崇右影藝科技大學,N 修,2 二專,,,,,,,,,,,,,,,,,17 基隆市,2 技職,109,基隆市,333.0,私立,195.0,138.0,73.0,60.0,114.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,,
1082,崇右影藝科技大學,D 日,5 五專,,,,,,,,,,,,,,,,,17 基隆市,2 技職,109,基隆市,36.0,私立,19.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,15.0,0.0,0.0,0.0,0.0,1.0,2.0,,
1083,台北海洋科技大學,D 日,M 碩士,,,,,,,,,,,,,,,,,01 新北市,2 技職,109,新北市,147.0,私立,82.0,65.0,39.0,28.0,31.0,27.0,10.0,8.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1083,台北海洋科技大學,D 日,B 四技,,,,,,,,,,,,,,,,,01 新北市,2 技職,109,新北市,2251.0,私立,1261.0,990.0,260.0,228.0,300.0,252.0,297.0,228.0,278.0,226.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,56.0,,
1083,台北海洋科技大學,N 修,B 四技,,,,,,,,,,,,,,,,,01 新北市,2 技職,109,新北市,205.0,私立,92.0,113.0,39.0,57.0,20.0,20.0,24.0,18.0,6.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,,
1083,台北海洋科技大學,D 日,C 二技,,,,,,,,,,,,,,,,,01 新北市,2 技職,109,新北市,216.0,私立,143.0,73.0,0.0,0.0,0.0,0.0,48.0,32.0,84.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,6.0,,
1083,台北海洋科技大學,N 修,C 二技,,,,,,,,,,,,,,,,,01 新北市,2 技職,109,新北市,356.0,私立,136.0,220.0,0.0,0.0,0.0,0.0,96.0,138.0,38.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,,
1083,台北海洋科技大學,D 日,2 二專,,,,,,,,,,,,,,,,,01 新北市,2 技職,109,新北市,51.0,私立,50.0,1.0,27.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,,
1083,台北海洋科技大學,N 修,2 二專,,,,,,,,,,,,,,,,,01 新北市,2 技職,109,新北市,120.0,私立,94.0,26.0,27.0,10.0,63.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,,
1083,台北海洋科技大學,D 日,5 五專,,,,,,,,,,,,,,,,,01 新北市,2 技職,109,新北市,846.0,私立,522.0,324.0,96.0,57.0,107.0,64.0,84.0,69.0,97.0,45.0,105.0,76.0,0.0,0.0,0.0,0.0,33.0,13.0,,
1125,中信金融管理學院,D 日,M 碩士,,,,,,,,,,,,,,,,,21 臺南市,1 一般,109,臺南市,102.0,私立,47.0,55.0,27.0,37.0,13.0,15.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1125,中信金融管理學院,N 職,M 碩士,,,,,,,,,,,,,,,,,21 臺南市,1 一般,109,臺南市,29.0,私立,21.0,8.0,21.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1125,中信金融管理學院,D 日,B 學士,,,,,,,,,,,,,,,,,21 臺南市,1 一般,109,臺南市,694.0,私立,392.0,302.0,134.0,96.0,110.0,69.0,88.0,66.0,52.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,,
1148,大漢技術學院,D 日,M 碩士,,,,,,,,,,,,,,,,,15 花蓮縣,2 技職,109,花蓮縣,81.0,私立,53.0,28.0,23.0,16.0,18.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1148,大漢技術學院,D 日,B 四技,,,,,,,,,,,,,,,,,15 花蓮縣,2 技職,109,花蓮縣,255.0,私立,152.0,103.0,30.0,18.0,35.0,25.0,36.0,33.0,43.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,,
1148,大漢技術學院,N 修,B 四技,,,,,,,,,,,,,,,,,15 花蓮縣,2 技職,109,花蓮縣,295.0,私立,188.0,107.0,78.0,39.0,37.0,26.0,38.0,20.0,29.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,,
1148,大漢技術學院,N 修,C 二技,,,,,,,,,,,,,,,,,15 花蓮縣,2 技職,109,花蓮縣,239.0,私立,139.0,100.0,0.0,0.0,0.0,0.0,69.0,59.0,63.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,,
1148,大漢技術學院,N 修,2 二專,,,,,,,,,,,,,,,,,15 花蓮縣,2 技職,109,花蓮縣,129.0,私立,73.0,56.0,35.0,24.0,37.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,
1159,和春技術學院,D 日,M 碩士,,,,,,,,,,,,,,,,,12 高雄市,2 技職,109,高雄市,3.0,私立,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1159,和春技術學院,D 日,B 四技,,,,,,,,,,,,,,,,,12 高雄市,2 技職,109,高雄市,149.0,私立,117.0,32.0,16.0,3.0,21.0,5.0,33.0,7.0,30.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,7.0,,
1159,和春技術學院,N 修,B 四技,,,,,,,,,,,,,,,,,12 高雄市,2 技職,109,高雄市,73.0,私立,57.0,16.0,9.0,0.0,9.0,4.0,11.0,3.0,17.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,,
1159,和春技術學院,D 日,C 二技,,,,,,,,,,,,,,,,,12 高雄市,2 技職,109,高雄市,4.0,私立,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1159,和春技術學院,N 修,C 二技,,,,,,,,,,,,,,,,,12 高雄市,2 技職,109,高雄市,239.0,私立,158.0,81.0,0.0,0.0,0.0,0.0,64.0,29.0,87.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,,
1159,和春技術學院,N 修,2 二專,,,,,,,,,,,,,,,,,12 高雄市,2 技職,109,高雄市,140.0,私立,108.0,32.0,37.0,8.0,61.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,,
1159,和春技術學院,D 日,5 五專,,,,,,,,,,,,,,,,,12 高雄市,2 技職,109,高雄市,80.0,私立,47.0,33.0,0.0,0.0,3.0,0.0,4.0,4.0,11.0,14.0,25.0,15.0,0.0,0.0,0.0,0.0,4.0,0.0,,
1166,亞東技術學院,D 日,M 碩士,,,,,,,,,,,,,,,,,01 新北市,2 技職,109,新北市,50.0,私立,42.0,8.0,15.0,2.0,16.0,2.0,8.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1166,亞東技術學院,D 日,B 四技,,,,,,,,,,,,,,,,,01 新北市,2 技職,109,新北市,4018.0,私立,2904.0,1114.0,678.0,267.0,722.0,289.0,736.0,259.0,646.0,276.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,23.0,,
1166,亞東技術學院,D 日,C 二技,,,,,,,,,,,,,,,,,01 新北市,2 技職,109,新北市,178.0,私立,12.0,166.0,0.0,0.0,0.0,0.0,4.0,85.0,8.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1166,亞東技術學院,N 修,C 二技,,,,,,,,,,,,,,,,,01 新北市,2 技職,109,新北市,142.0,私立,1.0,141.0,0.0,0.0,0.0,0.0,0.0,51.0,1.0,46.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1168,南亞技術學院,D 日,M 碩士,,,,,,,,,,,,,,,,,03 桃園市,2 技職,109,桃園市,13.0,私立,11.0,2.0,2.0,1.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1168,南亞技術學院,D 日,B 四技,,,,,,,,,,,,,,,,,03 桃園市,2 技職,109,桃園市,1312.0,私立,831.0,481.0,221.0,107.0,240.0,110.0,182.0,119.0,142.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,31.0,,
1168,南亞技術學院,N 修,B 四技,,,,,,,,,,,,,,,,,03 桃園市,2 技職,109,桃園市,522.0,私立,340.0,182.0,49.0,51.0,85.0,33.0,80.0,45.0,83.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,8.0,,
1168,南亞技術學院,N 修,C 二技,,,,,,,,,,,,,,,,,03 桃園市,2 技職,109,桃園市,1193.0,私立,539.0,654.0,0.0,0.0,0.0,0.0,277.0,322.0,256.0,328.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,,
1168,南亞技術學院,N 修,2 二專,,,,,,,,,,,,,,,,,03 桃園市,2 技職,109,桃園市,60.0,私立,44.0,16.0,20.0,8.0,17.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,,
1168,南亞技術學院,D 日,5 五專,,,,,,,,,,,,,,,,,03 桃園市,2 技職,109,桃園市,263.0,私立,151.0,112.0,18.0,12.0,26.0,15.0,30.0,24.0,32.0,18.0,38.0,40.0,0.0,0.0,0.0,0.0,7.0,3.0,,
1176,稻江科技暨管理學院,D 日,M 碩士,,,,,,,,,,,,,,,,,10 嘉義縣,1 一般,109,嘉義縣,21.0,私立,7.0,14.0,0.0,0.0,3.0,13.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,
1176,稻江科技暨管理學院,N 職,M 碩士,,,,,,,,,,,,,,,,,10 嘉義縣,1 一般,109,嘉義縣,11.0,私立,9.0,2.0,0.0,0.0,8.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1176,稻江科技暨管理學院,D 日,B 學士,,,,,,,,,,,,,,,,,10 嘉義縣,1 一般,109,嘉義縣,122.0,私立,70.0,52.0,0.0,0.0,1.0,0.0,18.0,23.0,49.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,,
1176,稻江科技暨管理學院,P 進,B 學士,,,,,,,,,,,,,,,,,10 嘉義縣,1 一般,109,嘉義縣,98.0,私立,35.0,63.0,0.0,0.0,12.0,11.0,5.0,8.0,18.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,,
1176,稻江科技暨管理學院,N 修,C 二技,,,,,,,,,,,,,,,,,10 嘉義縣,2 技職,109,嘉義縣,24.0,私立,7.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1182,蘭陽技術學院,D 日,B 四技,,,,,,,,,,,,,,,,,02 宜蘭縣,2 技職,109,宜蘭縣,226.0,私立,124.0,102.0,13.0,14.0,14.0,6.0,54.0,41.0,37.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0,,
1182,蘭陽技術學院,N 修,C 二技,,,,,,,,,,,,,,,,,02 宜蘭縣,2 技職,109,宜蘭縣,66.0,私立,35.0,31.0,0.0,0.0,0.0,0.0,35.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1182,蘭陽技術學院,N 修,2 二專,,,,,,,,,,,,,,,,,02 宜蘭縣,2 技職,109,宜蘭縣,5.0,私立,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,,
1182,蘭陽技術學院,D 日,5 五專,,,,,,,,,,,,,,,,,02 宜蘭縣,2 技職,109,宜蘭縣,216.0,私立,126.0,90.0,7.0,9.0,10.0,8.0,29.0,21.0,26.0,19.0,45.0,26.0,0.0,0.0,0.0,0.0,9.0,7.0,,
1183,黎明技術學院,D 日,B 四技,,,,,,,,,,,,,,,,,01 新北市,2 技職,109,新北市,3498.0,私立,1879.0,1619.0,384.0,408.0,456.0,446.0,559.0,408.0,396.0,321.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,36.0,,
1183,黎明技術學院,N 修,B 四技,,,,,,,,,,,,,,,,,01 新北市,2 技職,109,新北市,1197.0,私立,741.0,456.0,266.0,183.0,189.0,99.0,142.0,108.0,135.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,,
1183,黎明技術學院,N 修,C 二技,,,,,,,,,,,,,,,,,01 新北市,2 技職,109,新北市,73.0,私立,7.0,66.0,0.0,0.0,0.0,0.0,6.0,28.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,,
1183,黎明技術學院,D 日,5 五專,,,,,,,,,,,,,,,,,01 新北市,2 技職,109,新北市,423.0,私立,352.0,71.0,63.0,16.0,50.0,10.0,71.0,11.0,73.0,13.0,79.0,19.0,0.0,0.0,0.0,0.0,16.0,2.0,,
1185,經國管理暨健康學院,D 日,M 碩士,,,,,,,,,,,,,,,,,17 基隆市,2 技職,109,基隆市,44.0,私立,4.0,40.0,2.0,19.0,2.0,19.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1185,經國管理暨健康學院,N 職,M 碩士,,,,,,,,,,,,,,,,,17 基隆市,2 技職,109,基隆市,43.0,私立,5.0,38.0,2.0,18.0,3.0,15.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1185,經國管理暨健康學院,D 日,B 四技,,,,,,,,,,,,,,,,,17 基隆市,2 技職,109,基隆市,1880.0,私立,708.0,1172.0,122.0,201.0,194.0,337.0,181.0,292.0,151.0,262.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,80.0,,
1185,經國管理暨健康學院,N 修,B 四技,,,,,,,,,,,,,,,,,17 基隆市,2 技職,109,基隆市,37.0,私立,11.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,,
1185,經國管理暨健康學院,D 日,C 二技,,,,,,,,,,,,,,,,,17 基隆市,2 技職,109,基隆市,162.0,私立,24.0,138.0,0.0,0.0,0.0,0.0,14.0,77.0,9.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,,
1185,經國管理暨健康學院,N 修,C 二技,,,,,,,,,,,,,,,,,17 基隆市,2 技職,109,基隆市,776.0,私立,138.0,638.0,0.0,0.0,0.0,0.0,68.0,309.0,54.0,309.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,20.0,,
1185,經國管理暨健康學院,N 修,2 二專,,,,,,,,,,,,,,,,,17 基隆市,2 技職,109,基隆市,215.0,私立,43.0,172.0,27.0,86.0,9.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,,
1185,經國管理暨健康學院,D 日,5 五專,,,,,,,,,,,,,,,,,17 基隆市,2 技職,109,基隆市,1064.0,私立,301.0,763.0,49.0,147.0,72.0,134.0,65.0,146.0,42.0,134.0,61.0,147.0,0.0,0.0,0.0,0.0,12.0,55.0,,
1188,大同技術學院,D 日,B 四技,,,,,,,,,,,,,,,,,20 嘉義市,2 技職,109,嘉義市,545.0,私立,244.0,301.0,35.0,29.0,29.0,47.0,88.0,92.0,68.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,21.0,,
1188,大同技術學院,N 修,B 四技,,,,,,,,,,,,,,,,,20 嘉義市,2 技職,109,嘉義市,196.0,私立,71.0,125.0,26.0,37.0,16.0,31.0,19.0,26.0,8.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,,
1188,大同技術學院,N 修,C 二技,,,,,,,,,,,,,,,,,20 嘉義市,2 技職,109,嘉義市,245.0,私立,62.0,183.0,0.0,0.0,0.0,0.0,43.0,87.0,13.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,14.0,,
1188,大同技術學院,N 修,2 二專,,,,,,,,,,,,,,,,,20 嘉義市,2 技職,109,嘉義市,62.0,私立,27.0,35.0,14.0,14.0,12.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,,
1188,大同技術學院,D 日,5 五專,,,,,,,,,,,,,,,,,20 嘉義市,2 技職,109,嘉義市,89.0,私立,48.0,41.0,4.0,5.0,7.0,5.0,7.0,10.0,11.0,8.0,18.0,12.0,0.0,0.0,0.0,0.0,1.0,1.0,,
1192,臺灣觀光學院,D 日,M 碩士,,,,,,,,,,,,,,,,,15 花蓮縣,2 技職,109,花蓮縣,16.0,私立,9.0,7.0,6.0,3.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1192,臺灣觀光學院,D 日,B 四技,,,,,,,,,,,,,,,,,15 花蓮縣,2 技職,109,花蓮縣,93.0,私立,52.0,41.0,4.0,3.0,11.0,9.0,11.0,12.0,14.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,6.0,,
1192,臺灣觀光學院,N 修,B 四技,,,,,,,,,,,,,,,,,15 花蓮縣,2 技職,109,花蓮縣,37.0,私立,12.0,25.0,1.0,5.0,6.0,3.0,1.0,10.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1192,臺灣觀光學院,N 修,C 二技,,,,,,,,,,,,,,,,,15 花蓮縣,2 技職,109,花蓮縣,33.0,私立,14.0,19.0,0.0,0.0,0.0,0.0,9.0,10.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,
1192,臺灣觀光學院,N 修,2 二專,,,,,,,,,,,,,,,,,15 花蓮縣,2 技職,109,花蓮縣,34.0,私立,15.0,19.0,7.0,9.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1192,臺灣觀光學院,D 日,5 五專,,,,,,,,,,,,,,,,,15 花蓮縣,2 技職,109,花蓮縣,55.0,私立,23.0,32.0,0.0,3.0,5.0,2.0,1.0,2.0,3.0,9.0,13.0,14.0,0.0,0.0,0.0,0.0,1.0,2.0,,
1195,馬偕醫學院,D 日,D 博士,,,,,,,,,,,,,,,,,01 新北市,1 一般,109,新北市,5.0,私立,5.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1195,馬偕醫學院,D 日,M 碩士,,,,,,,,,,,,,,,,,01 新北市,1 一般,109,新北市,66.0,私立,19.0,47.0,9.0,24.0,3.0,8.0,4.0,9.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1195,馬偕醫學院,N 職,M 碩士,,,,,,,,,,,,,,,,,01 新北市,1 一般,109,新北市,15.0,私立,4.0,11.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1195,馬偕醫學院,D 日,B 學士,,,,,,,,,,,,,,,,,01 新北市,1 一般,109,新北市,691.0,私立,247.0,444.0,59.0,95.0,42.0,118.0,47.0,111.0,38.0,75.0,24.0,17.0,29.0,20.0,1.0,0.0,7.0,8.0,,
1195,馬偕醫學院,N 修,C 二技,,,,,,,,,,,,,,,,,01 新北市,2 技職,109,新北市,39.0,私立,2.0,37.0,0.0,0.0,0.0,0.0,2.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1196,法鼓文理學院,D 日,D 博士,,,,,,,,,,,,,,,,,01 新北市,1 一般,109,新北市,20.0,私立,9.0,11.0,3.0,1.0,1.0,1.0,3.0,1.0,0.0,3.0,0.0,0.0,1.0,4.0,1.0,1.0,0.0,0.0,,
1196,法鼓文理學院,D 日,M 碩士,,,,,,,,,,,,,,,,,01 新北市,1 一般,109,新北市,231.0,私立,68.0,163.0,20.0,44.0,19.0,40.0,10.0,39.0,19.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1196,法鼓文理學院,D 日,B 學士,,,,,,,,,,,,,,,,,01 新北市,1 一般,109,新北市,51.0,私立,19.0,32.0,6.0,3.0,4.0,12.0,5.0,10.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,
1282,馬偕醫護管理專科學校,D 日,2 二專,,,,,,,,,,,,,,,,,30 臺北市,2 技職,109,臺北市,32.0,私立,5.0,27.0,0.0,0.0,3.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,,
1282,馬偕醫護管理專科學校,N 修,2 二專,,,,,,,,,,,,,,,,,30 臺北市,2 技職,109,臺北市,222.0,私立,103.0,119.0,57.0,62.0,37.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,,
1282,馬偕醫護管理專科學校,D 日,5 五專,,,,,,,,,,,,,,,,,30 臺北市,2 技職,109,臺北市,3852.0,私立,480.0,3372.0,117.0,711.0,95.0,656.0,81.0,643.0,88.0,637.0,84.0,645.0,0.0,0.0,0.0,0.0,15.0,80.0,,
1283,仁德醫護管理專科學校,N 修,2 二專,,,,,,,,,,,,,,,,,05 苗栗縣,2 技職,109,苗栗縣,398.0,私立,188.0,210.0,121.0,141.0,63.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,,
1283,仁德醫護管理專科學校,D 日,5 五專,,,,,,,,,,,,,,,,,05 苗栗縣,2 技職,109,苗栗縣,6117.0,私立,1358.0,4759.0,318.0,973.0,267.0,911.0,239.0,903.0,223.0,890.0,217.0,865.0,0.0,0.0,0.0,0.0,94.0,217.0,,
1284,樹人醫護管理專科學校,N 修,2 二專,,,,,,,,,,,,,,,,,12 高雄市,2 技職,109,高雄市,552.0,私立,307.0,245.0,130.0,105.0,117.0,106.0,28.0,16.0,29.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,
1284,樹人醫護管理專科學校,D 日,5 五專,,,,,,,,,,,,,,,,,12 高雄市,2 技職,109,高雄市,6727.0,私立,1478.0,5249.0,285.0,1195.0,322.0,1064.0,299.0,1029.0,255.0,904.0,245.0,895.0,0.0,0.0,0.0,0.0,72.0,162.0,,
1285,慈惠醫護管理專科學校,D 日,2 二專,,,,,,,,,,,,,,,,,13 屏東縣,2 技職,109,屏東縣,97.0,私立,30.0,67.0,11.0,29.0,14.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,,
1285,慈惠醫護管理專科學校,N 修,2 二專,,,,,,,,,,,,,,,,,13 屏東縣,2 技職,109,屏東縣,266.0,私立,100.0,166.0,46.0,81.0,33.0,57.0,9.0,11.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,14.0,,
1285,慈惠醫護管理專科學校,D 日,5 五專,,,,,,,,,,,,,,,,,13 屏東縣,2 技職,109,屏東縣,3614.0,私立,781.0,2833.0,108.0,422.0,142.0,492.0,158.0,529.0,137.0,533.0,162.0,679.0,0.0,0.0,0.0,0.0,74.0,178.0,,
