學校代碼,學校名稱,日間∕進修別,等級別,一年級男生,一年級女生,二年級男生,二年級女生,三年級男生,三年級女生,四年級男生,四年級女生,五年級男生,五年級女生,六年級男生,六年級女生,七年級男生,七年級女生,延修生男生,延修生女生,縣市名稱,體系別,學年度,總計,男生計,女生計,一年級男,一年級女,二年級男,二年級女,三年級男,三年級女,四年級男,四年級女,五年級男,五年級女,六年級男,六年級女,七年級男,七年級女,延修生男,延修生女,華語先修生男,華語先修生女,city_name,sector
1051,台南應用科技大學,D 日,5 五專,54.0,149.0,53.0,164.0,50.0,182.0,45.0,183.0,38.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,11 臺南市,2 技職,108,1080.0,240.0,840.0,,,,,,,,,,,,,,,,,,,臺南市,私立
1051,台南應用科技大學,N 職,M 碩士,8.0,28.0,11.0,32.0,5.0,14.0,0.0,8.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,11 臺南市,2 技職,108,115.0,26.0,89.0,,,,,,,,,,,,,,,,,,,臺南市,私立
1051,台南應用科技大學,N 修,B 四技,340.0,521.0,239.0,388.0,172.0,325.0,192.0,352.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,59.0,11 臺南市,2 技職,108,2632.0,987.0,1645.0,,,,,,,,,,,,,,,,,,,臺南市,私立
1051,台南應用科技大學,N 修,C 二技,0.0,0.0,0.0,0.0,23.0,108.0,17.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.0,11 臺南市,2 技職,108,256.0,42.0,214.0,,,,,,,,,,,,,,,,,,,臺南市,私立
1052,遠東科技大學,D 日,M 碩士,67.0,39.0,44.0,66.0,16.0,4.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11 臺南市,2 技職,108,245.0,134.0,111.0,,,,,,,,,,,,,,,,,,,臺南市,私立
1052,遠東科技大學,D 日,B 四技,520.0,254.0,604.0,306.0,581.0,259.0,611.0,333.0,0.0,0.0,0.0,0.0,0.0,0.0,188.0,92.0,11 臺南市,2 技職,108,3748.0,2504.0,1244.0,,,,,,,,,,,,,,,,,,,臺南市,私立
1052,遠東科技大學,N 職,M 碩士,13.0,0.0,11.0,2.0,5.0,0.0,1.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,11 臺南市,2 技職,108,39.0,37.0,2.0,,,,,,,,,,,,,,,,,,,臺南市,私立
1052,遠東科技大學,N 修,B 四技,140.0,44.0,118.0,46.0,106.0,40.0,185.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,4.0,11 臺南市,2 技職,108,790.0,569.0,221.0,,,,,,,,,,,,,,,,,,,臺南市,私立
1052,遠東科技大學,N 修,C 二技,0.0,0.0,0.0,0.0,35.0,3.0,42.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,11 臺南市,2 技職,108,84.0,80.0,4.0,,,,,,,,,,,,,,,,,,,臺南市,私立
1052,遠東科技大學,N 修,2 二專,14.0,4.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11 臺南市,2 技職,108,36.0,31.0,5.0,,,,,,,,,,,,,,,,,,,臺南市,私立
1053,元培醫事科技大學,D 日,M 碩士,58.0,57.0,35.0,39.0,20.0,23.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18 新竹市,2 技職,108,249.0,122.0,127.0,,,,,,,,,,,,,,,,,,,新竹市,私立
1053,元培醫事科技大學,D 日,B 四技,441.0,576.0,435.0,540.0,355.0,431.0,373.0,533.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,91.0,18 新竹市,2 技職,108,3921.0,1750.0,2171.0,,,,,,,,,,,,,,,,,,,新竹市,私立
1053,元培醫事科技大學,D 日,C 二技,0.0,0.0,0.0,0.0,2.0,47.0,3.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18 新竹市,2 技職,108,96.0,5.0,91.0,,,,,,,,,,,,,,,,,,,新竹市,私立
1053,元培醫事科技大學,D 日,2 二專,0.0,0.0,27.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18 新竹市,2 技職,108,35.0,27.0,8.0,,,,,,,,,,,,,,,,,,,新竹市,私立
